I1031 16:27:18.608281 10785 convert_annoset.cpp:122] A total of 64115 images.
I1031 16:27:18.612852 10785 db_lmdb.cpp:35] Opened lmdb /home/wangjilong/data/coco/lmdb/coco_train_lmdb
I1031 16:28:20.397708 10785 convert_annoset.cpp:195] Processed 1000 files.
I1031 16:29:23.311571 10785 convert_annoset.cpp:195] Processed 2000 files.
I1031 16:30:28.233790 10785 convert_annoset.cpp:195] Processed 3000 files.
I1031 16:31:36.450028 10785 convert_annoset.cpp:195] Processed 4000 files.
I1031 16:32:47.560348 10785 convert_annoset.cpp:195] Processed 5000 files.
I1031 16:33:57.666829 10785 convert_annoset.cpp:195] Processed 6000 files.
I1031 16:35:07.463762 10785 convert_annoset.cpp:195] Processed 7000 files.
I1031 16:36:17.824496 10785 convert_annoset.cpp:195] Processed 8000 files.
I1031 16:37:28.893054 10785 convert_annoset.cpp:195] Processed 9000 files.
I1031 16:38:40.391824 10785 convert_annoset.cpp:195] Processed 10000 files.
I1031 16:39:52.345325 10785 convert_annoset.cpp:195] Processed 11000 files.
I1031 16:41:05.333910 10785 convert_annoset.cpp:195] Processed 12000 files.
I1031 16:42:17.614347 10785 convert_annoset.cpp:195] Processed 13000 files.
I1031 16:43:30.119874 10785 convert_annoset.cpp:195] Processed 14000 files.
I1031 16:44:43.082664 10785 convert_annoset.cpp:195] Processed 15000 files.
I1031 16:45:55.304263 10785 convert_annoset.cpp:195] Processed 16000 files.
I1031 16:47:07.175662 10785 convert_annoset.cpp:195] Processed 17000 files.
I1031 16:48:19.940956 10785 convert_annoset.cpp:195] Processed 18000 files.
I1031 16:49:31.680392 10785 convert_annoset.cpp:195] Processed 19000 files.
I1031 16:50:43.462548 10785 convert_annoset.cpp:195] Processed 20000 files.
I1031 16:51:54.566381 10785 convert_annoset.cpp:195] Processed 21000 files.
I1031 16:53:07.487481 10785 convert_annoset.cpp:195] Processed 22000 files.
I1031 16:54:20.862234 10785 convert_annoset.cpp:195] Processed 23000 files.
I1031 16:55:33.726516 10785 convert_annoset.cpp:195] Processed 24000 files.
I1031 16:56:45.581610 10785 convert_annoset.cpp:195] Processed 25000 files.
I1031 16:57:57.624939 10785 convert_annoset.cpp:195] Processed 26000 files.
I1031 16:59:10.292866 10785 convert_annoset.cpp:195] Processed 27000 files.
I1031 17:00:23.130671 10785 convert_annoset.cpp:195] Processed 28000 files.
I1031 17:01:35.475958 10785 convert_annoset.cpp:195] Processed 29000 files.
I1031 17:02:46.358830 10785 convert_annoset.cpp:195] Processed 30000 files.
I1031 17:03:58.332566 10785 convert_annoset.cpp:195] Processed 31000 files.
I1031 17:05:12.306242 10785 convert_annoset.cpp:195] Processed 32000 files.
I1031 17:06:29.606334 10785 convert_annoset.cpp:195] Processed 33000 files.
I1031 17:07:47.310252 10785 convert_annoset.cpp:195] Processed 34000 files.
I1031 17:09:06.674798 10785 convert_annoset.cpp:195] Processed 35000 files.
I1031 17:10:26.044960 10785 convert_annoset.cpp:195] Processed 36000 files.
I1031 17:11:42.771385 10785 convert_annoset.cpp:195] Processed 37000 files.
I1031 17:13:01.539101 10785 convert_annoset.cpp:195] Processed 38000 files.
I1031 17:14:20.336885 10785 convert_annoset.cpp:195] Processed 39000 files.
I1031 17:15:40.085875 10785 convert_annoset.cpp:195] Processed 40000 files.
